# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0.52, 0.0319375, -2.30659, -2.44388, -2.24551, -3.04596, -2.43672, -3.05555, -2.49939, -1.6517, -2.77228, -2.59149, -3.08949, -3.11412, -2.98299, -2.97984, -3.18551, -2.77497, -2.64083, -2.69034, -3.06383, -2.64853, -3.23416, -3.44114, -3.32136, -3.65608, -3.83387, -4.28835, -4.63301, -4.23182, -4.12591, -4.00819
0.54, 0.0319375, -2.35158, -1.84752, -2.52549, -2.98765, -2.78395, -2.45079, -2.39187, -2.0763, -2.72247, -2.39413, -2.66294, -3.11443, -2.46806, -3.13822, -3.00629, -3.4541, -3.01511, -2.93735, -3.18703, -3.00232, -3.30733, -3.47555, -3.06348, -3.2427, -3.48307, -4.03024, -4.43459, -4.48213, -4.20885, -4.22523
0.56, 0.0319375, -2.75644, -2.53568, -2.7747, -2.52072, -1.9614, -2.35054, -2.6356, -2.51918, -3.04145, -2.73368, -2.64757, -2.38963, -2.57741, -2.95708, -3.03375, -2.5853, -2.62362, -3.17331, -3.1494, -2.92598, -3.10793, -3.27162, -3.43363, -3.45618, -3.70637, -4.23333, -4.01996, -4.09871, -4.11409, -4.12517
0.58, 0.0319375, -2.68646, -2.97842, -2.12035, -2.48319, -2.10805, -2.04324, -2.51039, -2.35643, -2.56049, -2.26104, -2.39288, -3.06497, -2.83145, -2.60477, -2.91274, -3.25807, -2.97456, -2.78426, -2.74267, -2.84889, -3.39444, -2.82077, -2.86039, -2.99891, -3.49523, -3.73921, -4.02591, -3.92536, -3.98585, -3.88492
0.6, 0.0319375, -2.16196, -2.47452, -2.66709, -3.1095, -2.16442, -2.33556, -2.63842, -2.58111, -2.43796, -2.73813, -2.50028, -2.64197, -2.61187, -2.35125, -2.66605, -2.75649, -2.67049, -2.60368, -2.70389, -2.96116, -3.031, -2.98409, -3.39889, -3.25795, -3.57199, -3.67844, -3.80222, -3.97357, -3.93928, -3.80113
0.62, 0.0319375, -2.15297, -2.02093, -2.63454, -2.10546, -2.06781, -2.55611, -2.38016, -2.50356, -2.39269, -2.32327, -2.8541, -2.55222, -2.51183, -2.71628, -2.41418, -2.47657, -2.80109, -3.00738, -2.66138, -2.64808, -2.83975, -2.95749, -3.01028, -3.17638, -3.29644, -3.72705, -4.19401, -3.68634, -3.50041, -3.89915
0.64, 0.0319375, -2.16717, -2.08463, -2.33877, -2.20849, -3.04613, -2.59417, -2.25801, -1.9265, -2.0282, -1.95148, -2.95523, -2.79888, -2.56554, -2.27091, -2.77865, -2.98394, -3.24431, -3.11199, -3.15339, -2.51774, -2.81061, -2.70474, -3.20312, -3.46905, -3.62907, -4.04584, -3.83992, -3.77881, -4.18851, -4.08026
0.66, 0.0319375, -1.97065, -2.14727, -2.24304, -2.3247, -2.36533, -2.39637, -2.83197, -3.0538, -2.26703, -2.44869, -2.70177, -2.70815, -2.90973, -2.61155, -2.79863, -2.59047, -2.75077, -3.22779, -2.73588, -2.57417, -2.40425, -2.82429, -3.06058, -3.15863, -3.67326, -3.7567, -3.96138, -3.82581, -3.74303, -4.15002
0.68, 0.0319375, -1.58317, -3.03434, -2.57939, -2.90201, -2.92102, -2.16009, -2.46483, -1.89756, -1.96892, -2.34224, -2.46826, -3.00591, -2.41775, -1.98373, -2.26196, -2.69831, -2.93005, -2.59859, -2.61416, -2.78736, -3.0663, -2.83656, -3.04304, -3.59338, -3.18461, -3.65707, -3.87695, -3.90419, -3.80542, -3.96169
0.7, 0.0319375, -1.35713, -2.15734, -2.51299, -2.60265, -2.46856, -2.5877, -2.66184, -2.60045, -2.24877, -2.10838, -2.56118, -3.00688, -2.86471, -2.24626, -2.04275, -2.52968, -3.03119, -2.92005, -2.45397, -2.57484, -2.69839, -2.58001, -2.75089, -2.97164, -3.28338, -3.39953, -3.73096, -3.8359, -3.7088, -3.55712
0.72, 0.0319375, -1.99525, -2.02242, -1.94067, -2.46874, -2.48522, -2.63748, -2.70882, -2.651, -3.08779, -2.69243, -2.71443, -2.82903, -2.2391, -2.45341, -2.97266, -2.95932, -2.93278, -2.61857, -2.26212, -2.44743, -2.66491, -2.54952, -2.5405, -2.70402, -3.05844, -3.6358, -3.82675, -3.92305, -3.7236, -3.91274
0.74, 0.0319375, -1.45893, -2.21268, -2.20235, -1.74729, -2.16633, -2.51875, -2.463, -2.29362, -2.18971, -2.18781, -2.16451, -2.45605, -2.54792, -2.33704, -2.09978, -2.7588, -2.70238, -2.95943, -2.46178, -2.73997, -2.78143, -3.0078, -3.12649, -3.21164, -3.03205, -3.731, -3.8909, -4.15878, -3.78185, -3.78224
0.76, 0.0319375, -1.73971, -1.51854, -1.79186, -2.21489, -2.01845, -2.51712, -2.43325, -2.44652, -2.26613, -2.20876, -2.51064, -2.19425, -2.24383, -2.24263, -2.21655, -2.40437, -2.60928, -3.04861, -2.52149, -2.94056, -2.91235, -2.8008, -3.04088, -2.87917, -3.52839, -3.59548, -3.83722, -3.75891, -3.80038, -3.98031
0.78, 0.0319375, -1.75413, -1.46094, -1.46223, -2.37544, -2.09242, -2.40794, -3.26072, -3.43172, -2.30163, -1.97612, -2.22402, -2.30656, -1.93837, -2.04117, -1.62752, -2.42773, -2.47635, -2.54264, -2.34911, -2.78878, -2.78404, -2.77157, -2.88348, -2.58011, -3.25276, -3.08292, -3.72818, -3.44679, -3.46236, -3.64105
0.8, 0.0319375, -2.00701, -1.80423, -1.60129, -2.18898, -1.81278, -2.17211, -2.66394, -2.50291, -2.12769, -2.12437, -2.09768, -2.86332, -2.09788, -2.24829, -2.30598, -2.58875, -2.28644, -2.62147, -2.23353, -2.104, -2.52734, -2.80937, -2.61827, -2.61076, -2.95473, -3.46947, -3.48864, -3.43462, -3.57128, -3.50873
0.82, 0.0319375, -1.2472, -1.73146, -1.88554, -2.41161, -2.25426, -2.33714, -1.90258, -2.17778, -2.13688, -1.75684, -2.33227, -2.4315, -2.21981, -1.89964, -2.3314, -3.44954, -2.54325, -2.49092, -2.17954, -2.46887, -2.64901, -2.78667, -2.84592, -3.12692, -3.21082, -3.49576, -3.60825, -3.31732, -3.47419, -3.62827
0.84, 0.0319375, -1.96794, -1.90634, -1.85836, -1.89071, -2.29153, -2.20495, -2.78783, -2.37005, -1.65069, -2.20388, -2.6271, -1.95993, -2.1546, -1.93654, -2.53076, -3.51956, -2.75866, -2.5711, -2.47288, -2.24674, -2.72631, -2.54371, -3.12282, -3.18373, -2.96175, -3.3182, -3.48526, -3.39369, -3.61518, -3.53726
0.86, 0.0319375, -1.5394, -1.70439, -1.90376, -2.05371, -2.0311, -2.11619, -2.21547, -2.53857, -2.12727, -2.17871, -2.65191, -2.45168, -2.29535, -2.46029, -2.51671, -2.41605, -2.36011, -2.50953, -1.90624, -2.14512, -2.54556, -3.00164, -2.99708, -2.90901, -3.21299, -3.69613, -3.38133, -3.35731, -3.82436, -3.96648
0.88, 0.0319375, -1.38374, -2.01696, -2.2265, -2.01334, -1.76566, -2.34005, -2.19829, -2.43447, -1.25606, -1.41032, -2.20538, -2.71155, -2.52999, -1.99791, -2.58706, -2.72652, -2.79384, -2.73883, -2.12707, -2.91834, -2.66631, -2.46467, -2.76646, -3.05104, -3.13172, -3.54245, -3.4343, -3.3141, -3.43551, -3.6499
0.9, 0.0319375, -1.69178, -2.61598, -2.36567, -2.20405, -1.70239, -1.6027, -2.04488, -2.45365, -1.60144, -1.76844, -2.11949, -2.1543, -1.87301, -1.82468, -2.47244, -2.71489, -2.56847, -2.33679, -2.33838, -2.57656, -2.89564, -2.95732, -3.39535, -2.84761, -2.97764, -3.33081, -3.55464, -3.49445, -3.34068, -3.47392
0.92, 0.0319375, -0.939342, -2.00264, -2.61265, -2.81088, -1.20902, -1.14294, -1.95249, -2.79154, -2.34054, -1.86573, -1.98642, -2.96288, -1.96652, -1.57489, -1.90841, -2.39492, -2.7215, -2.90864, -2.43261, -2.84064, -2.79855, -2.99838, -2.78595, -2.5523, -2.91361, -3.29599, -3.58426, -3.463, -3.62339, -3.64498
0.94, 0.0319375, -1.85886, -1.44514, -2.04791, -1.98224, -2.45214, -2.03529, -2.02594, -1.71648, -2.17146, -2.33758, -2.65798, -2.2657, -2.15219, -2.83064, -2.29732, -2.62677, -2.89399, -2.60916, -2.19573, -2.21621, -2.95682, -2.49104, -2.18801, -2.56903, -2.89434, -3.43294, -3.52568, -3.4022, -3.22909, -3.33766
0.96, 0.0319375, -1.51246, -1.36991, -1.36468, -1.6075, -2.28649, -1.57068, -2.06952, -1.79235, -1.47488, -1.66176, -2.82477, -2.54489, -1.8941, -1.81343, -1.86737, -2.42893, -2.58187, -2.12105, -1.65403, -1.70631, -2.55606, -2.70033, -2.57344, -2.51493, -3.30538, -3.26019, -3.31492, -3.22972, -3.22789, -3.29922
0.98, 0.0319375, -1.50301, -2.14537, -1.90901, -1.94893, -1.69759, -1.30893, -2.26844, -1.94976, -2.19466, -2.64109, -3.3404, -2.76987, -2.05014, -2.23796, -1.68165, -2.39818, -2.3576, -2.45911, -1.88881, -2.28445, -2.84238, -2.75791, -2.95168, -2.82963, -3.02451, -3.38415, -3.53567, -3.32238, -3.42433, -3.51965
1, 0.0319375, -1.84278, -1.37997, -1.4345, -2.0913, -1.72636, -2.08243, -2.37629, -2.31636, -1.48795, -2.06741, -2.4547, -2.34295, -2.43358, -1.68164, -2.06335, -2.3859, -2.56791, -2.89318, -2.0728, -1.8526, -2.1791, -2.46921, -2.54163, -3.00396, -2.86995, -3.26635, -3.29839, -3.37881, -3.51128, -3.48216
1.02, 0.0319375, -1.36996, -1.75911, -2.17178, -1.56869, -1.38213, -1.78817, -2.28211, -1.98009, -1.73723, -1.71249, -2.52097, -2.3442, -2.42334, -1.95826, -1.85382, -2.36875, -2.44717, -2.44758, -2.10249, -1.6833, -2.08107, -2.24265, -2.2304, -2.47218, -2.87278, -3.20014, -3.23256, -3.3047, -3.30076, -3.14344
1.04, 0.0319375, -1.43127, -1.2972, -1.83082, -2.08236, -2.46481, -1.31879, -1.50862, -2.03017, -1.75561, -1.808, -2.53232, -2.3278, -2.3192, -2.01538, -2.26301, -2.43167, -2.34871, -2.5925, -2.38071, -2.35715, -2.59446, -2.62498, -2.58206, -2.80577, -2.92114, -3.24465, -3.04082, -3.03894, -3.2156, -3.50709
1.06, 0.0319376, -2.17881, -1.49782, -1.46871, -2.55771, -1.16772, -1.53486, -1.91499, -2.77634, -1.82523, -2.1545, -2.35832, -2.17242, -1.72714, -1.62063, -1.77348, -2.24549, -2.48175, -2.47369, -1.97684, -1.89303, -2.38418, -2.36627, -2.43773, -2.74621, -2.92846, -2.94741, -3.2769, -3.29383, -3.27302, -3.1811
1.08, 0.0319375, -1.53842, -1.10519, -1.83915, -2.2378, -1.8894, -1.87595, -1.86697, -2.16114, -1.8867, -1.99474, -2.15584, -2.69714, -1.72613, -1.56213, -2.28075, -2.21576, -2.10144, -2.59177, -2.35288, -2.09662, -2.56375, -2.66594, -2.29936, -2.57319, -2.64754, -3.14035, -3.12851, -3.08994, -2.94522, -3.08438
1.1, 0.0319375, -0.878975, -0.996054, -0.956188, -1.70357, -1.98374, -2.14796, -2.26225, -2.19729, -2.00056, -1.79178, -2.40867, -2.23958, -2.61051, -2.08978, -2.12421, -2.53107, -2.33493, -2.22069, -1.87428, -2.20121, -2.63516, -2.62891, -2.55765, -2.29548, -2.86502, -2.88364, -3.08263, -3.13715, -3.21802, -3.33803
1.12, 0.0319375, -1.09629, -1.29053, -0.997192, -1.06286, -1.7567, -1.50602, -2.59768, -2.43547, -2.18756, -2.21093, -2.54231, -1.64355, -2.06047, -1.88333, -2.21873, -2.58239, -2.46917, -2.17347, -2.08122, -2.26851, -2.40272, -2.32203, -2.65913, -2.95633, -2.90566, -2.96396, -3.06222, -3.09396, -2.96222, -3.23261
1.14, 0.0319375, -1.10557, -1.41724, -2.01353, -1.54889, -2.07598, -1.88564, -2.26104, -2.10783, -2.06693, -2.66767, -2.81363, -2.34924, -2.24931, -1.89774, -1.95207, -2.13362, -1.75124, -2.12209, -2.01626, -2.33532, -2.1898, -2.31364, -2.47088, -2.73675, -2.76723, -3.12763, -3.33261, -3.21081, -3.14005, -2.95991
1.16, 0.0319375, -1.58194, -1.55588, -1.54515, -1.59508, -1.91215, -2.05082, -1.65582, -1.64104, -1.61091, -1.72643, -2.20931, -2.19543, -2.0404, -1.83583, -1.81044, -2.09013, -2.46639, -2.36095, -1.99783, -2.0149, -2.13385, -2.53222, -2.6256, -2.80349, -2.88393, -3.0333, -3.00402, -3.0766, -3.24939, -3.56608
1.18, 0.0319376, -1.2385, -1.13816, -1.08066, -1.62038, -2.52845, -1.90155, -1.90316, -1.93023, -1.11374, -1.76836, -2.31114, -2.14894, -2.03548, -1.61005, -2.10872, -2.00434, -2.49053, -2.41555, -2.05343, -1.91689, -2.18674, -2.065, -2.23979, -2.51268, -3.00218, -3.3402, -3.31964, -3.19925, -3.14591, -2.84592
1.2, 0.0319375, -0.63529, -1.27328, -1.73988, -1.69032, -0.928744, -1.84756, -2.34595, -2.06758, -1.80022, -1.62881, -2.03528, -1.85191, -2.10465, -1.97066, -1.70184, -2.33051, -2.31395, -2.30922, -2.14277, -2.33952, -2.45937, -2.49907, -2.42766, -2.46124, -2.66909, -2.78609, -3.22788, -3.20731, -2.94824, -3.00889
1.22, 0.0319375, -1.32845, -1.45297, -1.75094, -2.50177, -2.41254, -1.90813, -2.02879, -2.10266, -1.63772, -1.97344, -1.81291, -1.87958, -1.88827, -2.21777, -1.70287, -2.25076, -2.46844, -2.04414, -1.88776, -1.66903, -2.1129, -2.21882, -2.37145, -2.88255, -2.40315, -2.60323, -3.18114, -2.88655, -2.91611, -2.92121
1.24, 0.0319375, -1.02616, -1.88455, -1.57299, -1.37524, -1.43493, -2.3418, -2.14673, -2.06903, -1.74533, -1.49366, -2.46227, -2.06342, -1.52254, -1.59843, -1.80089, -2.08765, -2.43379, -2.27583, -1.73445, -1.78027, -2.21382, -2.1313, -2.12056, -2.54137, -2.7316, -2.78015, -2.9008, -2.708, -2.73001, -2.83546
1.26, 0.0319375, -1.17573, -1.56991, -1.57034, -1.9633, -1.59302, -1.97881, -1.76403, -1.80037, -1.83396, -2.42131, -2.66088, -2.19046, -2.3593, -1.71744, -1.4956, -2.05673, -2.43703, -2.21582, -1.64357, -1.64302, -2.14054, -2.21837, -1.89934, -2.41363, -2.6046, -2.93941, -2.97859, -3.02089, -2.68289, -3.25444
1.28, 0.0319375, -1.26774, -1.1341, -1.24488, -1.63066, -1.60625, -0.950716, -1.79928, -2.07248, -1.83241, -1.90155, -1.96064, -1.94078, -1.56243, -1.65284, -1.71723, -1.78294, -2.02891, -2.12056, -1.70393, -1.73156, -2.18605, -2.57377, -2.25817, -2.36522, -2.63075, -2.72347, -2.87508, -3.04945, -3.14134, -3.29714
1.3, 0.0319376, -0.924557, -1.14077, -1.67764, -2.20921, -1.62757, -1.3013, -1.97418, -1.90619, -2.07169, -1.59885, -1.95248, -2.46123, -1.99821, -1.70378, -1.44784, -1.5699, -1.89836, -1.92647, -1.89709, -1.73704, -2.19507, -2.38189, -2.29818, -2.526, -2.6905, -3.02115, -3.2919, -2.99341, -3.01142, -3.03934
1.32, 0.0319375, -1.68238, -2.12152, -1.7551, -1.34861, -1.24168, -1.30387, -1.66997, -1.44251, -1.44191, -2.11476, -2.15006, -1.6604, -1.41421, -1.11271, -1.8705, -2.2318, -2.54697, -2.35351, -1.67962, -1.75096, -2.35871, -2.2536, -2.27882, -2.35877, -2.96564, -2.9455, -2.75649, -2.75752, -2.83134, -3.2343
1.34, 0.0319375, -1.00991, -1.47611, -1.78896, -1.4983, -1.40688, -1.76714, -1.96348, -1.49303, -1.5969, -1.5356, -1.57496, -1.86058, -1.4156, -1.28735, -2.04925, -2.40242, -2.21604, -1.93147, -1.7953, -1.67425, -2.53348, -2.22964, -2.48477, -2.43562, -2.51251, -2.89509, -3.12278, -2.65959, -2.96247, -3.11904
1.36, 0.0319375, -0.743793, -0.822938, -2.25122, -1.87172, -1.06137, -1.40637, -1.27322, -1.4224, -1.33471, -2.29766, -2.29891, -2.2486, -1.90111, -1.93022, -1.81075, -2.12993, -2.11627, -2.15167, -1.73725, -1.54374, -2.1952, -2.42137, -2.23966, -2.32763, -2.70661, -2.73447, -3.16954, -3.35262, -3.0662, -3.08001
1.38, 0.0319375, -0.602656, -1.72704, -2.22798, -1.98104, -1.63879, -1.52282, -1.8522, -1.74358, -1.82623, -1.90062, -1.76546, -2.0057, -1.73324, -1.29642, -1.31022, -1.91404, -2.38295, -1.92183, -1.64193, -1.88383, -2.28881, -2.28374, -2.3259, -2.43686, -2.31964, -2.9091, -2.91748, -3.17023, -3.08615, -3.29276
