# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0.8, 0.0319375, 0.0866478, -0.180122, 0.11258, 0.0621964, -0.328857, -0.0455717, 0.260483, -0.133758, 0.116336, 0.167435, -1.2016, -1.11641, -1.19977, -0.729242, -0.920128, -1.00158, -1.02773, -1.26138, -0.942138, -1.12968, -1.81591, -1.4033, -1.37655, -1.47651, -1.61796, -1.94358, -1.77759, -2.18464, -2.27227, -2.30296
0.82, 0.0319375, -0.299998, 0.202583, 0.405515, -0.330957, 0.0950981, -0.0131325, -0.234079, -0.165936, 0.51318, 0.26645, -0.83476, -1.29388, -0.812343, -0.621548, -1.31408, -1.31848, -1.41091, -1.27135, -1.29564, -1.53801, -1.50396, -1.45755, -1.72968, -1.5157, -1.80691, -1.8238, -2.005, -2.01569, -2.31116, -2.15535
0.84, 0.0319375, -0.0224792, -0.211276, -0.346516, -0.70875, -1.14967, -0.600046, -0.369676, -0.120693, 0.470005, -0.293576, -0.893403, -1.16182, -1.13109, -0.44029, -1.41649, -1.60716, -1.50018, -1.82971, -1.20488, -0.829271, -1.10193, -1.40975, -1.4503, -1.56635, -1.70449, -1.7994, -1.84786, -2.27602, -1.98249, -2.33352
0.86, 0.0319375, -0.0546451, 0.048421, -0.0836583, -0.913968, -0.568954, -0.483724, -0.589861, -0.314289, 0.586491, 0.268292, -0.762789, -0.212711, -0.690374, -0.257602, -1.24736, -0.994773, -1.40847, -1.91431, -1.60701, -1.79593, -1.59165, -1.42978, -1.37505, -1.65824, -1.86745, -1.71341, -1.89975, -2.23548, -2.09633, -2.33661
0.88, 0.0319375, -0.683709, 0.210924, 0.600807, -0.586647, -0.31487, -0.0461974, -0.384276, -0.608314, -0.390643, -0.177693, -0.808365, -0.596801, -0.794594, -0.300782, -0.842202, -0.820832, -1.18797, -1.31389, -1.34489, -1.30819, -1.34249, -1.37279, -1.51074, -1.6128, -1.86413, -1.66924, -1.68777, -1.54456, -1.95035, -1.84992
0.9, 0.0319375, 0.310546, 0.289071, 0.264724, -0.148667, -0.420931, 0.248299, -0.529458, -0.821882, -0.433895, -0.158903, -0.504666, -0.33706, -0.657897, -0.760525, -0.949911, -0.895875, -1.48043, -1.0651, -1.2094, -1.50629, -1.81592, -2.01052, -1.67439, -1.80033, -1.73375, -2.12161, -1.96388, -2.24997, -2.35424, -2.3571
0.92, 0.0319375, -0.780607, -0.247974, 0.236816, 0.372105, -0.258228, -0.120152, -0.26378, -0.244932, -0.174136, -0.714102, -1.18136, -0.788055, -0.675022, -1.08231, -1.37267, -0.904985, -1.42429, -1.54871, -1.18513, -1.01202, -1.45552, -1.35968, -1.2202, -1.612, -1.66114, -1.79098, -1.87527, -2.131, -2.11082, -1.98327
0.94, 0.0319375, 0.09993, 0.0224987, -0.324353, -0.233691, -0.0608318, -0.601277, -0.23845, 0.0436888, -0.283417, -0.9172, -0.746938, -0.339144, -0.661399, -0.98902, -1.50514, -0.992231, -0.630962, -1.2957, -1.53354, -1.62174, -1.62651, -1.55937, -1.66361, -1.57112, -1.64105, -1.64621, -2.12633, -2.45203, -2.56887, -2.55798
0.96, 0.0319375, -0.0129857, 0.153607, -0.26856, -0.381958, -0.524212, 0.300278, 0.077468, 0.181838, -0.192195, -0.148277, -0.0640859, -0.224271, -0.90642, -1.16661, -1.23048, -1.23543, -1.14308, -1.18316, -1.6407, -1.13686, -1.23926, -1.0147, -1.23097, -1.77767, -2.10975, -1.88184, -1.99976, -2.26597, -2.14241, -2.04346
0.98, 0.0319375, 0.824646, 0.534645, 0.227085, -0.119174, -0.304197, -0.952067, 0.141478, 0.100008, -0.62525, -0.83822, -0.458033, -0.692852, -0.727055, -1.08803, -1.34844, -0.909266, -1.0855, -1.22441, -1.24924, -1.2712, -1.43492, -1.06285, -1.31182, -1.48871, -1.91382, -1.58979, -1.76854, -1.58134, -1.88362, -2.02231
1, 0.0319375, 0.434473, 0.466543, 0.491054, -1.12859, -0.639944, -1.17018, -0.751195, -0.308066, -0.738659, -0.651999, -0.842773, -0.576414, -1.05128, -1.16803, -1.15841, -0.676703, -1.16585, -0.71075, -0.492505, -1.13409, -1.67471, -1.35682, -1.48934, -1.57774, -1.60758, -1.83611, -1.96556, -1.72938, -1.949, -2.05372
1.02, 0.0319375, -0.853385, -0.027748, -0.684046, 0.0852834, -0.00841729, -0.0737868, -0.268062, 0.140063, 0.0663668, -0.335999, -0.846032, -0.351488, -0.332926, -0.981732, -0.908222, -1.11324, -1.19227, -1.18339, -1.22597, -1.37029, -1.21885, -0.990049, -1.12565, -1.16405, -1.42468, -1.40225, -1.23075, -1.40838, -1.70391, -1.95166
1.04, 0.0319375, -0.0710977, 0.114295, 0.440971, 0.0160229, -0.200463, 0.0872283, 0.426491, -0.218697, -0.360384, -0.211768, -0.66893, -0.535862, -0.671824, -0.692787, -1.31898, -1.00072, -1.01468, -1.06221, -1.07377, -1.74077, -1.55515, -1.54789, -1.64659, -2.18674, -1.65771, -1.85675, -2.08736, -1.94401, -1.99247, -2.36083
1.06, 0.0319376, 0.949087, -0.254147, 0.263242, -0.2979, -0.468621, 0.220635, 0.15025, -0.541986, -0.103964, 0.120753, -0.973935, -0.925604, -0.722711, -1.02743, -1.23935, -1.00779, -1.26013, -2.00943, -1.83805, -1.29198, -1.44179, -1.15838, -1.40231, -1.44602, -1.68478, -1.974, -2.07382, -2.09431, -2.13562, -2.0808
1.08, 0.0319375, 1.07951, 0.33639, -0.18175, -0.597952, 0.181249, 0.221606, -0.679795, -0.419596, 0.0882062, 0.0502336, -0.166713, -0.805214, -1.19592, -0.489768, -1.00622, -1.10825, -0.707835, -1.11887, -1.09614, -1.4121, -1.26226, -1.24533, -1.27716, -0.820626, -0.911156, -1.05571, -0.675505, -0.686224, -0.802648, -0.80383
1.1, 0.0319375, 0.567778, 0.349258, 0.0622098, -1.04354, 0.316303, 0.36484, -0.0437642, -0.0105783, -0.21603, -0.865526, -0.677916, -0.506357, -0.73055, -0.995581, -1.00238, -0.967181, -1.35156, -1.49348, -2.00842, -1.55704, -1.26344, -1.25194, -1.14554, -1.47774, -1.70755, -1.87979, -1.64605, -1.87214, -1.65004, -1.67412
1.12, 0.0319375, 0.390001, 0.554604, 0.651778, -0.369111, -0.0151914, 0.340225, 0.0181217, 0.198048, -0.383625, -0.394694, -0.982532, -0.907598, -0.912463, -1.11033, -1.29608, -0.832869, -1.44425, -1.23056, -1.59619, -1.40466, -1.1638, -1.21681, -1.69323, -1.88581, -1.84936, -1.9702, -2.03086, -1.84301, -2.09912, -1.77938
1.14, 0.0319375, 0.385819, 0.41856, 0.363244, -0.382969, -0.141029, 0.283426, -0.45011, -0.365729, -0.325159, -0.039771, -0.339984, -0.374927, -0.62913, -1.22897, -1.19575, -0.972563, -1.20384, -1.53527, -1.4683, -1.25965, -1.15198, -1.59532, -2.00421, -1.58619, -1.79675, -1.98025, -1.7965, -2.33088, -2.02002, -1.97054
1.16, 0.0319375, 0.901173, 0.453538, -0.15751, -0.263854, -0.37, -0.130569, 0.0103093, -0.261068, -0.193598, 0.107866, -0.805526, -1.16304, -1.16964, -1.62043, -1.44072, -0.874421, -1.1933, -1.27766, -1.64012, -1.8572, -1.67081, -1.64261, -1.29662, -1.69425, -1.63688, -2.21476, -2.03681, -2.15013, -1.99509, -2.30397
1.18, 0.0319376, 1.29821, 0.502389, 0.432879, 0.270588, -0.0456101, -0.273329, -0.535433, -0.28791, -0.00193264, -0.332161, -0.251325, -1.17739, -0.341923, -0.791304, -1.31394, -1.54385, -1.0072, -1.53736, -1.63492, -1.55776, -1.50848, -1.45249, -1.49879, -2.02754, -2.16072, -2.21502, -2.10344, -2.3404, -2.41319, -2.36507
