# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0.6, 0.0319375, -0.15543, 0.111988, 0.699056, 0.575333, 1.03788, 0.494669, 0.549573, 1.05958, 0.7894, 0.505217, -0.557017, -0.461737, -0.151755, -0.419077, -1.22713, -0.721409, -0.896182, -0.239108, -0.474007, -0.635871, -1.45462, -2.09838, -1.23675, -1.12865, -1.08735, -1.76259, -1.79301, -1.77512, -2.70233, -2.72992
0.62, 0.0319375, -0.446418, -0.155818, -0.0766855, -0.132164, -0.603841, -0.42597, -0.160723, -0.0422989, -0.109756, -0.382116, -0.440564, -0.497014, -0.577418, -0.975768, -1.23002, -1.41608, -1.19503, -0.641392, -0.709924, -1.1554, -1.59476, -1.60348, -1.13608, -1.40489, -1.13035, -1.88304, -1.92442, -2.19181, -3.16199, -3.125
0.64, 0.0319375, -1.65094, -1.31291, -1.00503, -0.176656, -0.386484, -0.82464, -1.45241, -0.565598, 0.0566283, -0.791801, -0.642676, -0.449208, -1.28104, -0.753058, -1.29622, -1.12465, -0.804932, -0.567716, -0.428969, -0.51175, -1.18929, -1.77277, -1.01996, -1.5669, -1.86404, -1.79897, -2.28624, -2.43741, -3.21197, -2.96145
0.66, 0.0319375, -0.415509, -0.609638, -1.12308, -0.804657, -0.511568, -0.32713, -1.11964, -0.668571, -0.0651598, -0.52633, -0.647348, -0.996486, -0.974214, -1.12904, -2.031, -1.70929, -1.45122, -0.874859, -0.949652, -1.5402, -2.16322, -1.96456, -1.67147, -1.76671, -1.91746, -2.5227, -2.17973, -2.66443, -3.39758, -3.26803
0.68, 0.0319375, -0.886068, -0.909151, -0.755716, -1.03297, -0.710076, -1.69571, -0.885436, -1.43699, -0.998864, -1.55065, -1.45681, -1.07853, -1.25216, -1.64009, -2.0154, -1.98879, -1.75227, -1.37587, -1.18089, -1.26304, -1.97804, -2.02175, -1.81501, -1.98666, -1.88486, -2.28128, -2.85321, -3.29687, -4.05172, -3.68371
0.7, 0.0319375, -1.3062, -1.53379, -1.86879, -1.87103, -0.853909, -1.6506, -1.96435, -1.49579, -1.66236, -1.15444, -1.28773, -1.83511, -1.46847, -1.83079, -2.27325, -1.92478, -1.64384, -1.59404, -1.64228, -1.70703, -2.10618, -2.53307, -2.14956, -2.2381, -2.46655, -2.64305, -2.7484, -3.11686, -3.92297, -3.74437
0.72, 0.0319375, -1.90017, -1.19543, -2.0078, -1.7317, -1.21568, -1.38637, -1.67781, -1.7635, -1.01259, -1.78651, -2.17008, -2.06596, -2.44058, -2.14182, -2.50709, -2.60566, -2.36639, -2.21281, -1.97049, -2.07485, -2.31199, -2.62812, -1.96504, -2.46528, -2.67122, -2.78601, -3.05441, -3.13868, -3.97612, -4.35739
0.74, 0.0319375, -1.62809, -1.34364, -1.75608, -2.14761, -1.8831, -1.56067, -1.41845, -1.47293, -0.988208, -1.55369, -2.05222, -1.60734, -2.19877, -2.32796, -2.5253, -2.5463, -2.39027, -1.94544, -2.01059, -2.0648, -2.59303, -3.01728, -2.99242, -3.22555, -2.904, -2.87324, -3.37879, -3.89144, -4.24971, -4.32373
0.76, 0.0319375, -1.58767, -1.66943, -2.10359, -1.77553, -1.74493, -1.89886, -2.36879, -1.70681, -1.65998, -1.19997, -2.32717, -2.54665, -1.69636, -2.15176, -2.3751, -2.73152, -2.4973, -2.23618, -2.09703, -2.02926, -2.61083, -2.75989, -2.51607, -2.85057, -2.7759, -3.40585, -3.34169, -3.68891, -4.38473, -4.34544
0.78, 0.0319375, -1.95157, -2.54984, -2.5753, -2.13617, -2.08554, -2.0112, -2.01501, -2.02234, -2.3758, -1.75312, -2.007, -1.54289, -1.93366, -2.6703, -2.64457, -2.52306, -2.54926, -2.5468, -2.15426, -2.46348, -2.93192, -3.0939, -3.15343, -3.20497, -2.96783, -3.25854, -3.75373, -3.86491, -4.69528, -4.38119
0.8, 0.0319375, -2.15009, -2.15818, -2.05408, -2.27782, -2.91858, -2.62876, -2.78884, -1.89463, -1.74155, -2.03147, -1.91625, -2.49469, -2.71899, -2.27388, -2.59213, -2.77998, -2.55424, -2.43411, -2.38621, -2.41186, -3.03365, -2.94364, -2.8254, -2.90639, -3.32503, -3.50538, -4.10949, -4.00375, -4.5793, -4.58924
0.82, 0.0319375, -1.68676, -1.25828, -1.29924, -1.9344, -1.95478, -3.02506, -2.69528, -2.05346, -2.50247, -2.04739, -2.41649, -2.71528, -2.76157, -2.32728, -2.78945, -2.6382, -2.66209, -2.78358, -2.9745, -3.22943, -3.12824, -3.97216, -3.69547, -3.56185, -3.36489, -3.62419, -3.85259, -3.99693, -4.94499, -4.69363
0.84, 0.0319375, -3.17966, -2.088, -2.82416, -2.9653, -2.14787, -2.28857, -2.53373, -1.724, -1.96522, -2.16714, -2.41803, -1.90231, -2.33136, -2.67588, -2.74371, -2.62035, -2.74872, -3.01137, -2.84117, -2.86382, -3.19037, -3.54594, -3.3351, -3.76072, -3.53218, -3.89269, -4.00761, -4.39745, -5.1112, -4.82187
0.86, 0.0319375, -2.42307, -2.61516, -3.05775, -2.79603, -2.61456, -2.53091, -1.86169, -1.96611, -1.96452, -2.06458, -2.43394, -2.41943, -2.54043, -2.53994, -2.57985, -2.64476, -2.81137, -2.73324, -2.615, -2.76183, -3.49755, -3.68309, -3.45982, -4.00834, -3.64393, -3.71516, -4.16298, -4.42683, -4.77359, -4.8559
0.88, 0.0319375, -2.50716, -2.0086, -1.73169, -1.99011, -1.79886, -2.49837, -2.55603, -2.42845, -1.99733, -2.11437, -2.61634, -3.03075, -2.4923, -2.8501, -3.11342, -2.83206, -2.68094, -2.90533, -2.83964, -3.19237, -3.21576, -3.50994, -3.75609, -3.71236, -3.6361, -3.97846, -4.13694, -4.50931, -5.26663, -4.80048
0.9, 0.0319375, -3.07742, -2.2977, -2.38036, -2.24793, -1.89603, -2.32785, -2.06342, -2.1542, -2.63458, -2.48867, -2.65118, -3.0218, -2.45047, -2.83146, -2.80735, -2.68168, -2.92558, -3.24613, -3.17224, -3.8782, -3.80192, -3.88422, -3.72078, -3.89128, -3.8709, -4.32478, -4.71555, -5.02385, -5.23396, -5.43687
0.92, 0.0319375, -1.75977, -2.25104, -2.33329, -1.88656, -1.97294, -2.43566, -2.30322, -2.33958, -1.95796, -2.26541, -2.08157, -2.5041, -2.57513, -2.70755, -3.1227, -3.04472, -3.19174, -3.21702, -3.17562, -3.38254, -3.54205, -3.716, -3.69069, -3.83903, -3.96793, -3.98056, -4.3363, -4.7108, -5.04197, -5.14838
0.94, 0.0319375, -1.79577, -1.93575, -1.60438, -1.96884, -2.91067, -2.6535, -2.28211, -2.13467, -2.39835, -1.98127, -2.35167, -2.09578, -2.54567, -3.06923, -3.47855, -3.26416, -3.28954, -3.32212, -3.19879, -3.48244, -3.6665, -3.8421, -4.02013, -4.27811, -3.79061, -4.02404, -4.46943, -4.92807, -4.97306, -5.02395
0.96, 0.0319375, -2.03771, -1.98437, -2.40788, -1.72414, -2.28992, -2.47236, -2.82277, -2.35061, -2.52654, -2.51656, -2.41553, -2.56915, -2.25495, -3.09172, -3.04152, -3.06763, -3.17799, -3.34142, -3.20856, -3.31571, -3.99576, -4.06901, -4.01509, -4.35829, -4.23017, -4.58082, -4.55729, -5.01478, -5.31141, -5.03714
0.98, 0.0319375, -2.23658, -1.95821, -1.62729, -2.87326, -2.85752, -2.74058, -2.78376, -2.24644, -2.39257, -2.32856, -2.30572, -2.35664, -2.59074, -2.65349, -2.93818, -3.14651, -3.28506, -2.97961, -3.35478, -3.36754, -3.78523, -4.42539, -3.78421, -4.24232, -4.31598, -4.64102, -4.89868, -5.18279, -5.17527, -5.24227
1, 0.0319375, -2.51587, -1.49364, -1.41536, -1.79547, -2.41483, -1.47136, -1.40702, -2.20471, -1.8081, -2.30061, -2.61168, -2.32641, -2.59686, -2.42986, -2.92075, -2.55083, -2.64767, -2.33894, -2.21441, -2.40783, -2.79878, -3.14276, -3.44735, -3.27305, -3.22287, -3.49698, -3.78904, -4.38275, -4.93257, -5.0641
1.02, 0.0319375, -1.88136, -2.08128, -2.30873, -1.80349, -2.18458, -1.86417, -2.25379, -2.11639, -2.27089, -2.26577, -2.31817, -2.67366, -2.45749, -2.25936, -2.41893, -2.62542, -2.8758, -2.33912, -2.74461, -2.2948, -2.9998, -3.83821, -3.33092, -3.36169, -3.69365, -3.83969, -3.99066, -4.53627, -4.63856, -5.0735
1.04, 0.0319375, -2.23328, -2.29383, -2.52707, -3.37468, -2.41434, -2.67396, -2.92851, -2.0674, -2.03896, -2.40027, -2.60962, -2.22172, -2.29275, -2.64752, -2.88004, -2.83786, -3.06141, -2.91983, -3.13286, -2.75923, -3.09003, -3.75424, -3.52155, -3.70214, -4.00773, -3.96273, -4.4482, -4.68777, -5.0789, -5.3658
1.06, 0.0319376, -1.80483, -1.83858, -2.15689, -2.969, -2.78996, -2.71997, -1.93872, -2.00181, -1.86464, -2.24463, -2.25881, -2.5868, -2.48374, -2.69014, -3.24507, -3.28979, -3.17119, -2.88217, -3.35239, -3.21855, -3.34285, -3.92173, -3.83013, -3.76157, -4.00835, -3.85581, -4.44829, -5.02438, -5.37044, -5.30115
1.08, 0.0319375, -2.28867, -2.03271, -2.19333, -2.74578, -2.75569, -2.11217, -2.60223, -2.2462, -2.21, -3.35708, -2.51566, -2.30457, -3.05435, -3.37449, -3.24907, -3.4486, -3.02816, -3.30585, -3.33796, -3.47309, -3.60424, -4.30198, -3.91069, -3.78915, -3.93068, -4.18411, -4.51517, -4.80725, -5.24303, -5.36351
1.1, 0.0319375, -2.31587, -2.67884, -2.3562, -2.09148, -2.52555, -2.49367, -2.78092, -2.9351, -2.87902, -2.35771, -2.7734, -2.39236, -2.54208, -2.53688, -3.17871, -3.54423, -3.09503, -3.64398, -3.22377, -3.27916, -3.80645, -4.59379, -4.337, -4.17104, -4.40119, -4.0106, -4.48119, -5.07858, -5.35996, -5.29608
1.12, 0.0319375, -2.37676, -2.55262, -2.266, -2.08972, -2.31167, -2.31534, -2.27524, -2.22678, -2.50994, -2.97224, -3.05735, -2.55483, -2.42668, -2.79477, -3.0799, -3.02804, -3.11523, -3.81452, -3.66543, -3.3504, -3.87367, -4.2928, -4.32326, -4.44312, -4.734, -4.43366, -4.65671, -5.011, -5.3455, -5.55463
1.14, 0.0319375, -1.53097, -1.64364, -1.932, -2.36114, -2.87598, -2.26258, -2.81734, -2.8059, -2.38734, -1.98525, -2.13247, -2.67451, -2.73642, -2.99434, -3.10063, -2.72916, -3.51873, -3.66368, -3.52576, -3.96675, -4.05645, -4.2977, -4.19372, -4.75443, -4.86771, -4.68697, -4.97779, -5.15, -5.11999, -5.11156
1.16, 0.0319375, -1.79932, -2.86026, -2.55806, -2.96893, -2.50256, -2.47765, -1.96918, -2.39983, -2.2623, -2.26973, -2.45362, -2.47099, -2.56964, -2.82283, -3.02133, -3.00457, -3.08916, -3.24959, -3.29271, -3.54368, -3.93555, -4.48759, -4.34442, -4.3525, -4.64629, -4.39885, -4.34484, -5.30502, -5.1012, -5.02299
1.18, 0.0319376, -1.8124, -1.60569, -1.80848, -2.65711, -2.38284, -2.25909, -2.66001, -2.40569, -2.31299, -2.60505, -2.69965, -2.15306, -2.31312, -2.49988, -2.91037, -2.67681, -2.82186, -2.85001, -3.0715, -3.11823, -3.62527, -4.23781, -4.56187, -4.27215, -4.19705, -4.55331, -4.83239, -5.15609, -5.32572, -5.28907
1.2, 0.0319375, -1.48042, -1.89236, -2.47371, -2.89976, -2.91368, -2.84842, -2.50952, -2.51877, -2.34932, -2.24649, -2.38338, -2.51101, -2.58028, -2.62615, -2.7055, -3.16292, -3.33226, -3.0362, -2.92764, -2.91824, -3.42203, -3.9555, -4.23457, -4.15725, -4.40134, -4.33804, -4.40876, -4.74638, -4.81576, -5.16712
1.22, 0.0319375, -1.61313, -2.16803, -2.84474, -2.43549, -2.80524, -2.71279, -2.8199, -2.58468, -1.62805, -2.39534, -2.4255, -2.32351, -2.51867, -2.56701, -3.18768, -2.79327, -2.96075, -2.74959, -3.14443, -3.09099, -3.33357, -4.02818, -4.32318, -4.35691, -4.26366, -4.32243, -4.74269, -5.03279, -5.2356, -5.20246
1.24, 0.0319375, -1.79371, -2.40326, -2.40694, -3.69117, -3.03588, -2.71747, -2.73909, -2.20983, -2.11029, -2.33004, -2.30777, -2.63589, -2.2681, -2.62847, -2.89509, -3.2138, -3.13488, -3.46178, -3.58242, -3.88022, -4.094, -4.22533, -4.23492, -4.10159, -4.70519, -4.49102, -4.83512, -4.94359, -5.08761, -5.23676
1.26, 0.0319375, -1.94533, -2.01859, -2.988, -2.68636, -2.68011, -2.09902, -2.39983, -2.21154, -2.11784, -2.60144, -2.7, -2.82107, -2.29783, -2.73286, -2.96791, -3.00041, -3.29972, -3.49827, -3.38647, -3.65598, -3.72236, -4.15763, -4.29461, -4.70874, -4.65059, -4.39463, -4.52876, -4.58152, -5.02638, -5.17383
1.28, 0.0319375, -2.01627, -2.17913, -2.36414, -2.73446, -2.00359, -2.22363, -2.36046, -3.11477, -2.94748, -2.86935, -2.61745, -2.77287, -2.74654, -2.72755, -3.27745, -3.36506, -3.28595, -3.57946, -3.5413, -3.70539, -4.1772, -4.47855, -4.64767, -4.59038, -4.68804, -4.36714, -4.04308, -4.895, -5.02639, -5.23746
1.3, 0.0319376, -2.24653, -1.91597, -2.2048, -2.85431, -2.3983, -2.67388, -3.4252, -2.57177, -2.113, -2.59816, -2.49084, -2.08275, -2.84876, -2.36114, -3.3592, -2.94859, -3.48993, -3.46773, -3.62848, -3.95317, -4.19571, -4.70749, -4.62282, -4.57192, -4.71812, -4.59604, -4.9856, -5.05017, -4.99725, -5.1937
1.32, 0.0319375, -2.28957, -2.515, -1.83606, -2.38091, -1.81736, -2.50852, -2.92996, -2.15685, -1.97722, -2.28313, -2.94236, -2.59712, -2.71834, -2.60643, -2.91708, -3.05782, -3.77371, -3.16172, -3.38857, -3.83567, -3.88586, -4.29173, -4.61173, -4.82846, -5.0769, -4.89779, -4.59159, -5.38001, -5.12001, -5.08748
1.34, 0.0319375, -2.30459, -2.24364, -1.81608, -2.40627, -2.2785, -1.96645, -1.94799, -2.33795, -1.91878, -2.085, -2.41896, -2.36489, -2.16154, -2.18495, -2.4902, -2.76221, -2.65744, -2.73481, -2.75093, -3.05007, -3.53864, -3.21343, -3.20796, -3.68868, -3.50427, -3.34007, -3.6098, -4.07639, -4.38296, -4.23961
1.36, 0.0319375, -2.34174, -1.94821, -1.87215, -2.2592, -2.31435, -2.38267, -2.40106, -2.40918, -2.1741, -2.00343, -2.73944, -2.41699, -2.05596, -2.97093, -3.03402, -2.8232, -2.458, -2.64656, -3.23147, -2.92053, -3.37105, -3.54461, -3.5128, -3.77506, -3.73442, -4.0263, -3.98709, -4.34781, -4.48268, -4.36101
1.38, 0.0319375, 0.692399, 1.59522, 0.918306, 1.25271, 0.715013, 0.624071, -0.182949, -0.951231, -1.1817, -0.722792, -0.782676, -1.47588, -1.3977, -1.54215, -1.63508, -2.09431, -2.14263, -2.26653, -2.10601, -2.61416, -2.95988, -2.73866, -2.76125, -3.04104, -3.10976, -3.32907, -3.18427, -3.46374, -3.53878, -3.8164
1.4, 0.0319375, -0.943389, -0.279341, -0.122169, -0.893248, -1.11345, -1.6823, -1.59185, -1.8077, -2.26443, -1.70914, -1.93051, -2.49006, -2.74449, -2.51415, -2.58542, -3.29876, -2.99135, -2.87396, -3.26517, -3.03859, -3.58141, -3.10161, -3.33004, -3.4065, -3.04829, -3.29533, -3.71377, -3.66121, -3.85711, -4.0278
