# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0.74, 0.0319375, -2.56445, -2.96735, -3.96639, -3.63311, -3.72914, -3.82823, -3.68004, -3.84332, -3.87518, -4.21775, -4.05938, -3.82137, -3.81154, -3.86918, -4.63968, -4.98881, -4.8811, -4.58456, -4.38309, -2.66138, -3.33856, -3.53967, -4.45425, -4.65786, -4.97418, -5.34113, -4.93752, -4.90012, -4.81371, -4.72499
0.76, 0.0319375, -3.12699, -3.02491, -3.90822, -4.04234, -4.06547, -3.93713, -3.78485, -3.38805, -3.81475, -4.40183, -4.13937, -3.6798, -3.84415, -4.33049, -4.14939, -4.11514, -4.62894, -4.38463, -4.68392, -3.18668, -3.56595, -4.38583, -4.70195, -4.47501, -4.92097, -4.7493, -4.77943, -5.05691, -4.96428, -4.5593
0.78, 0.0319375, -4.3138, -3.37573, -3.37296, -4.15144, -3.68124, -3.9539, -3.46797, -3.34414, -3.72816, -4.18154, -4.51136, -3.647, -3.93704, -4.20188, -4.59809, -4.24708, -4.58873, -4.65285, -4.5941, -3.00363, -3.57167, -4.25651, -4.61141, -4.94995, -5.54677, -5.29128, -4.96111, -4.5761, -4.80706, -4.75838
0.8, 0.0319375, -3.17627, -2.86609, -3.97679, -3.85688, -3.42267, -3.66426, -3.63773, -3.62798, -3.88445, -3.74754, -4.09176, -3.87523, -4.06198, -4.14056, -4.17383, -4.46905, -4.21506, -4.43127, -4.68266, -3.44409, -3.83908, -4.28202, -4.83243, -4.68285, -4.89227, -5.27317, -4.83102, -4.69075, -4.66029, -4.54565
0.82, 0.0319375, -3.03395, -2.44872, -3.56384, -3.81232, -3.46378, -3.91019, -3.44736, -3.40522, -3.79465, -4.33157, -4.3043, -3.27142, -3.84002, -4.20261, -4.08529, -3.61981, -3.8712, -4.38662, -4.71772, -2.7494, -3.18672, -4.14328, -4.21813, -4.90636, -4.96637, -5.02624, -4.6692, -4.90234, -4.62857, -4.48655
0.84, 0.0319375, -4.01037, -3.06218, -2.8748, -3.17192, -3.17182, -3.48072, -3.33816, -4.32331, -3.66061, -3.76817, -3.69421, -2.89044, -3.27604, -3.45188, -4.09221, -3.77269, -4.06523, -4.66327, -4.27482, -3.07875, -3.5519, -4.5248, -4.03342, -4.54428, -4.92993, -4.98851, -4.65878, -4.76483, -4.76021, -4.66279
0.86, 0.0319375, -3.08174, -2.87111, -3.05111, -4.50445, -3.68368, -3.23407, -3.40928, -4.2193, -3.79141, -4.09843, -3.71477, -3.54187, -3.79706, -3.54589, -3.96157, -4.05147, -4.38503, -4.20378, -4.23177, -3.80248, -4.04838, -4.98902, -4.56857, -4.74836, -4.95852, -4.90047, -4.51791, -4.58521, -4.74309, -4.60187
0.88, 0.0319375, -2.83365, -3.05747, -3.87894, -3.78591, -3.79952, -2.93155, -3.38421, -4.08511, -4.63039, -3.80755, -3.38729, -3.44448, -3.68506, -3.76344, -4.51394, -4.46022, -3.86294, -4.25119, -4.45074, -4.18766, -4.35147, -4.33352, -4.49621, -4.57868, -4.73744, -4.91232, -4.56612, -4.38829, -4.77519, -4.69507
0.9, 0.0319375, -2.57743, -3.05019, -3.8742, -4.35262, -3.89784, -3.18824, -3.52684, -3.75872, -3.99605, -4.36195, -4.07972, -3.73003, -3.62135, -3.56673, -4.45076, -4.31409, -4.07222, -4.13912, -4.33828, -4.11481, -4.24276, -4.27433, -3.97567, -4.56204, -4.78703, -4.873, -4.64116, -4.41914, -4.46537, -4.1559
0.92, 0.0319375, -3.07825, -3.44603, -3.37493, -4.28346, -3.53957, -4.00436, -3.71547, -4.01173, -3.95921, -4.08449, -3.75409, -3.41057, -3.43766, -3.66739, -4.08481, -3.86639, -4.08824, -3.82859, -4.18909, -3.88359, -4.20821, -4.08277, -4.3507, -4.74901, -4.69284, -4.6795, -4.13589, -3.8444, -4.04878, -4.34873
0.94, 0.0319375, -2.78807, -2.97412, -3.70184, -3.49115, -3.0922, -4.2272, -3.80824, -3.86482, -3.96473, -4.27994, -3.55899, -2.97448, -3.76413, -4.05317, -3.87191, -3.83934, -3.85416, -3.6748, -4.4369, -4.31764, -3.85801, -3.73341, -4.42813, -4.44186, -4.86481, -4.55928, -4.16737, -4.33162, -4.43369, -4.34515
0.96, 0.0319375, -3.47167, -3.41013, -3.62377, -3.38002, -3.16914, -3.72217, -3.72282, -3.87737, -3.55385, -3.37434, -3.19907, -2.98766, -3.72893, -3.91712, -4.11241, -4.21163, -4.33775, -4.55269, -4.1974, -3.91861, -4.06455, -4.31536, -4.6627, -4.30556, -4.5525, -4.98901, -4.3425, -4.13485, -4.15742, -3.46159
0.98, 0.0319375, -3.02911, -3.43255, -3.69716, -3.62761, -3.35818, -3.5122, -3.36421, -3.44757, -3.08226, -3.87768, -3.97565, -3.83977, -3.59534, -4.57015, -4.43545, -4.31342, -4.14151, -4.00406, -4.25302, -3.81222, -4.08684, -4.38502, -4.09349, -4.06151, -4.71275, -4.24721, -4.06856, -4.52134, -3.83063, -3.97178
1, 0.0319375, -2.45226, -3.05702, -3.1561, -3.14106, -3.75426, -3.72204, -2.98241, -3.3675, -3.78626, -3.46051, -3.37276, -3.2476, -3.80891, -3.97535, -4.27357, -4.05997, -3.61324, -3.97525, -4.18907, -4.15604, -3.95918, -3.89767, -4.16122, -4.33874, -4.88107, -4.46104, -4.09272, -4.23376, -4.12712, -4.26658
1.02, 0.0319375, -3.20384, -3.37724, -4.18472, -3.62564, -3.7355, -3.66748, -3.85605, -3.82854, -3.20967, -3.50966, -3.93133, -3.49903, -3.73443, -4.163, -3.95076, -3.55363, -3.96993, -4.33352, -4.19405, -3.75652, -3.66004, -3.21324, -3.77805, -4.53133, -4.76413, -4.56302, -4.15658, -4.15118, -4.22465, -4.17203
1.04, 0.0319375, -3.13891, -3.35649, -3.60573, -3.17092, -3.61244, -3.60768, -3.56224, -3.51356, -3.38935, -3.39419, -3.79863, -3.41529, -3.74543, -4.24638, -4.00575, -3.95126, -3.72684, -3.87457, -4.07194, -2.4403, -3.11948, -3.62193, -3.89178, -4.57269, -4.76294, -4.25238, -4.11066, -4.32246, -4.11294, -4.09146
1.06, 0.0319376, -2.65542, -2.94147, -2.95112, -3.15379, -3.07312, -2.57374, -3.41952, -3.56173, -3.09543, -2.45822, -3.32212, -3.94038, -3.89467, -3.66287, -3.94231, -3.57127, -3.93077, -3.93235, -3.89357, -1.60298, -2.46066, -3.27244, -3.45357, -3.87655, -4.3519, -4.66805, -4.18746, -4.19091, -4.07152, -4.07895
1.08, 0.0319375, -2.88554, -3.01339, -2.55314, -3.06829, -3.14936, -2.99729, -3.1884, -3.52967, -3.00529, -2.92471, -3.09434, -3.4387, -3.85866, -3.50887, -3.76243, -3.9465, -3.38613, -3.04684, -3.13914, -2.19183, -2.59362, -2.97375, -3.82069, -4.05728, -4.30391, -4.34418, -4.00104, -4.25132, -4.0619, -4.13435
1.1, 0.0319375, -2.59868, -2.69116, -2.80858, -3.48411, -3.20819, -3.12328, -3.05939, -3.65226, -3.12986, -3.04322, -3.34188, -3.69836, -3.72597, -4.22759, -3.57607, -3.31646, -3.55552, -3.71428, -3.805, -2.43784, -2.89918, -3.44387, -3.88065, -4.49064, -4.04948, -4.16429, -4.24914, -4.34782, -4.11264, -4.12313
1.12, 0.0319375, -1.90585, -2.5844, -2.84719, -3.42496, -3.12071, -2.74728, -2.73354, -3.27464, -3.04574, -3.10509, -3.89323, -3.45415, -3.68105, -3.46169, -3.6874, -3.83493, -3.61344, -3.75901, -3.89283, -2.57284, -3.13157, -3.46311, -3.82668, -4.17576, -4.42944, -4.66442, -4.52619, -4.28864, -4.40611, -4.70948
1.14, 0.0319375, -2.93742, -2.94671, -3.02211, -3.68309, -3.27559, -2.8723, -3.12363, -2.83022, -3.32339, -3.41172, -3.72255, -3.29029, -3.65185, -4.25784, -3.98639, -3.83972, -4.10426, -3.96675, -4.44874, -3.21916, -4.00034, -3.89282, -4.03747, -4.5105, -4.4783, -4.76542, -4.37779, -4.85995, -4.47691, -4.20055
1.16, 0.0319375, -2.94075, -2.9893, -3.42316, -3.37734, -3.17837, -2.94102, -2.81314, -2.7881, -3.26099, -3.61091, -3.97109, -3.4222, -3.24477, -3.88766, -3.91494, -3.78381, -3.80763, -3.82289, -3.99152, -3.68119, -3.64765, -3.8787, -4.14148, -4.6209, -4.26591, -4.42909, -4.05857, -4.47364, -4.71713, -3.89553
1.18, 0.0319376, -3.31778, -3.07845, -3.13093, -3.25662, -3.19677, -3.12361, -3.00434, -3.60334, -2.95485, -3.36158, -3.88169, -3.69505, -3.28655, -3.23289, -3.5414, -3.83305, -3.55812, -3.52826, -3.84381, -3.30959, -3.50769, -3.56223, -3.90425, -4.63769, -4.50811, -4.7009, -4.22882, -4.44333, -4.49007, -4.04894
1.2, 0.0319375, -2.42667, -2.54486, -3.2718, -3.87337, -3.6205, -3.30079, -2.95477, -2.99259, -3.15419, -2.74614, -3.31584, -3.151, -3.16526, -3.84422, -3.79531, -4.11636, -4.07866, -4.11389, -4.2367, -3.64429, -4.27865, -4.27647, -3.93688, -4.29653, -4.46303, -4.68032, -4.61921, -4.60945, -4.313, -4.16416
1.22, 0.0319375, -1.89705, -2.4621, -2.69028, -3.97833, -3.20174, -2.9408, -3.0159, -3.25323, -2.88328, -3.64529, -3.81938, -2.66545, -2.86265, -3.49219, -3.544, -3.532, -3.70348, -3.7749, -3.96858, -3.53243, -3.85368, -4.11112, -3.99022, -4.1402, -4.45864, -4.49818, -4.3026, -4.30275, -4.36357, -4.06108
1.24, 0.0319375, -3.13373, -3.60885, -3.40389, -3.19652, -2.37154, -3.18369, -3.23612, -3.40554, -3.25598, -3.70137, -3.49003, -3.2563, -3.02146, -3.45315, -3.27632, -3.54233, -3.57722, -3.68361, -4.06699, -3.26182, -3.64435, -3.93787, -3.72845, -4.25514, -4.67365, -4.44462, -4.36069, -4.42229, -4.39547, -4.35421
1.26, 0.0319375, -2.15033, -2.72751, -3.18288, -3.60182, -2.36577, -2.83636, -3.76486, -3.42615, -3.14309, -3.75038, -4.32213, -3.25861, -3.01596, -3.36687, -3.51722, -3.82313, -3.40931, -3.66285, -4.09728, -3.77961, -3.96097, -3.80897, -3.97507, -4.27696, -4.41321, -4.30309, -4.40918, -3.89064, -4.03267, -4.37
1.28, 0.0319375, -2.60433, -2.5618, -2.64373, -3.39485, -2.98625, -2.71605, -2.79984, -2.87235, -3.0778, -3.23473, -3.37459, -2.7163, -2.86985, -3.31912, -3.30944, -3.376, -3.68533, -3.93436, -4.03922, -3.56744, -3.627, -4.09966, -3.52811, -3.98344, -4.52839, -4.65449, -4.4415, -4.26755, -4.18816, -4.31708
1.3, 0.0319376, -2.53276, -2.19336, -3.0302, -3.02414, -3.48213, -2.62857, -2.98584, -3.20178, -3.27681, -3.29103, -3.9061, -3.05804, -3.22997, -3.43174, -3.63302, -3.96536, -3.97828, -3.80816, -3.84786, -3.5643, -3.91906, -4.04629, -3.96587, -3.85815, -4.42272, -4.26897, -3.90953, -4.05144, -4.02176, -4.22922
1.32, 0.0319375, -2.99099, -2.22017, -2.78253, -2.90209, -2.76042, -2.70647, -2.55101, -2.71412, -3.15176, -3.32154, -3.16511, -3.32105, -3.2912, -3.54407, -3.81204, -3.78072, -3.57085, -3.42573, -3.44793, -2.36612, -2.94302, -3.45542, -3.584, -3.78113, -4.46797, -4.39475, -3.99652, -4.13325, -4.19929, -3.83997
1.34, 0.0319375, -1.98355, -2.46158, -3.06619, -3.33792, -3.16963, -2.73582, -3.29297, -3.316, -3.63009, -3.70738, -3.50612, -3.54381, -3.3727, -3.85971, -3.44775, -4.0241, -4.11971, -3.41124, -3.55644, -2.32409, -2.95547, -2.69954, -3.71449, -3.73229, -4.194, -4.40339, -4.26035, -4.10672, -3.75004, -3.90725
1.36, 0.0319375, -2.40256, -2.75818, -2.71377, -3.01895, -3.49421, -3.81451, -3.68719, -2.55642, -2.70905, -3.39343, -3.48987, -3.27803, -3.53424, -3.69321, -3.44442, -3.69102, -3.70369, -3.41035, -3.67197, -1.82195, -2.59596, -3.11154, -3.43737, -4.06295, -4.2646, -4.575, -4.32547, -4.57228, -4.06168, -3.86474
1.38, 0.0319375, -3.25775, -2.46031, -3.08486, -3.24582, -3.02288, -3.36543, -3.10225, -2.85791, -2.55798, -2.70571, -2.97192, -2.65256, -3.23275, -3.70369, -3.90125, -4.132, -3.56133, -3.03113, -3.03967, -1.71938, -2.68478, -2.76179, -3.80056, -3.88056, -4.05344, -3.94305, -4.54278, -4.30946, -3.92309, -3.51097
1.4, 0.0319375, -1.78948, -2.23533, -3.11671, -2.68594, -3.17923, -3.19855, -3.82592, -2.8476, -3.38297, -3.12743, -3.72007, -3.29309, -2.9895, -3.27314, -3.82087, -3.43103, -3.41247, -3.08334, -3.19549, -2.00693, -2.60714, -2.98042, -3.34956, -3.82047, -3.86279, -3.84259, -4.10795, -3.98145, -3.92922, -3.50758
